City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
396,Yambio,SS,71.08,few clouds,4.5721,28.3955,Kabash Inn
399,Pekan,MY,78.96,overcast clouds,3.4836,103.3996,Ancasa Royale Hotel
404,Kendari,ID,75.45,overcast clouds,-3.945,122.4989,Hotel Agung
407,Natal,BR,81.25,broken clouds,-5.795,-35.2094,Natal Palace Hotel
410,Lorengau,PG,79.16,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
417,Fare,PF,79.39,clear sky,-16.7,-151.0167,hôtel Maitai Lapita Village
423,Salalah,OM,73.49,clear sky,17.0151,54.0924,Muscat International Hotel
439,Emerald,AU,75.34,clear sky,-23.5333,148.1667,Emerald Central Hotel
440,Praia,CV,73.94,broken clouds,14.9215,-23.5087,Casa Sodadi
443,Turan,VN,73.38,broken clouds,16.0678,108.2208,Thanh Thanh Hotel
444,Touros,BR,79.61,few clouds,-5.1989,-35.4608,Pousada Atlântico
445,Huarmey,PE,70.47,few clouds,-10.0681,-78.1522,Hostal Santa Rosa
459,Saint-Pierre,RE,74.88,clear sky,-21.3393,55.4781,Tropic Hotel
464,Mahalapye,BW,71.89,scattered clouds,-23.1041,26.8142,Lme Lodge
472,Mandera,KE,84.94,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
476,Saint-Philippe,RE,74.79,overcast clouds,-21.3585,55.7679,Le Baril
485,Honiara,SB,83.53,overcast clouds,-9.4333,159.95,King Solomon Hotel
487,Khartoum,SD,78.03,clear sky,15.5518,32.5324,تانا للشقق الفندقية
490,Lae,PG,75.87,overcast clouds,-6.7221,146.9847,Huon Gulf Hotel
493,Sao Filipe,CV,72.63,scattered clouds,14.8961,-24.4956,Bela Vista
502,Souillac,MU,75.58,light rain,-20.5167,57.5167,Hotel SkylineInn
507,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,Hotel del Valle
512,Tomatlan,MX,84.9,clear sky,19.9333,-105.25,Hotel Hacienda Vieja Tomatlan
515,Sharjah,AE,76.98,clear sky,25.3573,55.4033,shakeel bhai room
519,Pitimbu,BR,79.39,scattered clouds,-7.4706,-34.8086,Pousada Brisa Mar
520,Isla Mujeres,MX,82.45,clear sky,21.2311,-86.731,Villa La Bella
522,Amuntai,ID,72.52,overcast clouds,-2.4177,115.2494,Grand Balqis Hotel
524,Gualaquiza,EC,73.96,light rain,-3.4,-78.55,Hotel Internacional
