City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
442,Lgov,RU,51.6307,35.2775,19.0,52,58,9.55,broken clouds
443,Turan,VN,16.0678,108.2208,73.38,88,75,1.14,broken clouds
444,Touros,BR,-5.1989,-35.4608,79.61,73,23,12.73,few clouds
445,Huarmey,PE,-10.0681,-78.1522,70.47,75,17,8.63,few clouds
446,Kathmandu,NP,27.7167,85.3167,48.42,87,20,2.3,few clouds
447,Jambi,ID,-1.6,103.6167,73.67,97,98,1.21,overcast clouds
448,Seoul,KR,37.5683,126.9778,31.44,69,75,8.05,light snow
449,Gushikawa,JP,26.3544,127.8686,65.43,95,0,13.8,light intensity shower rain
450,Bethanien,NA,-26.502,17.1583,62.82,39,0,8.37,clear sky
451,Kibiti,TZ,-7.7218,38.9375,70.92,98,100,3.29,overcast clouds
452,Garden City,US,42.3256,-83.331,44.06,45,100,6.91,overcast clouds
453,Buala,SB,-8.145,159.5921,82.51,78,100,6.71,overcast clouds
454,Ixtapa,MX,20.7,-105.2,82.22,69,0,8.05,clear sky
455,Berlevag,NO,70.8578,29.0864,35.6,86,100,8.05,light snow
456,Aktash,RU,50.3,87.7333,-14.58,92,31,3.83,scattered clouds
457,Jalu,LY,29.0331,21.5482,63.77,36,2,8.5,clear sky
458,Silver City,US,32.7701,-108.2803,60.76,64,40,16.11,scattered clouds
459,Saint-Pierre,RE,-21.3393,55.4781,74.88,64,0,4.61,clear sky
460,Usinsk,RU,65.9939,57.5281,1.76,95,74,14.88,broken clouds
461,Navalmoral De La Mata,ES,39.8916,-5.5406,54.95,96,100,6.31,overcast clouds
462,Yar-Sale,RU,66.8333,70.8333,-0.92,99,14,5.53,few clouds
463,Fukue,JP,32.6881,128.8419,49.77,58,6,19.37,clear sky
464,Mahalapye,BW,-23.1041,26.8142,71.89,65,49,9.4,scattered clouds
465,Borogontsy,RU,62.6683,131.1683,-27.27,100,99,1.41,overcast clouds
466,Mishawaka,US,41.662,-86.1586,43.16,55,100,5.75,overcast clouds
467,Matagami,CA,49.7502,-77.6328,15.91,79,100,2.3,overcast clouds
468,Zemio,CF,5.0314,25.1361,73.62,69,75,2.44,broken clouds
469,Kamaishi,JP,39.2667,141.8833,38.3,64,96,1.3,overcast clouds
470,Colac,AU,-38.3333,143.5833,54.18,70,81,4.52,broken clouds
471,Chiang Kham,TH,19.5233,100.3,66.76,95,91,1.81,overcast clouds
472,Mandera,KE,3.9366,41.867,84.94,36,71,9.33,broken clouds
473,Ola,RU,59.5833,151.2833,-13.41,93,36,6.96,scattered clouds
474,Povenets,RU,62.8487,34.8262,22.6,91,100,10.42,overcast clouds
475,Yakima,US,46.4665,-120.6678,31.69,86,100,1.01,overcast clouds
476,Saint-Philippe,RE,-21.3585,55.7679,74.79,79,99,9.89,overcast clouds
477,Marzuq,YE,14.4,46.4667,60.33,54,2,2.68,clear sky
478,Hasaki,JP,35.7333,140.8333,42.22,86,100,26.31,light rain
479,Haverfordwest,GB,51.8017,-4.9691,46.58,85,100,1.99,overcast clouds
480,Praia Da Vitoria,PT,38.7333,-27.0667,60.76,88,75,9.53,light rain
481,Plouzane,FR,48.3833,-4.6167,37.58,87,0,9.22,clear sky
482,Liepaja,LV,56.5419,21.0367,26.58,100,100,3.44,mist
483,Atherton,GB,53.5237,-2.4935,42.89,84,68,3.0,broken clouds
484,Knyaginino,RU,55.8228,45.0349,4.98,91,82,5.46,broken clouds
485,Honiara,SB,-9.4333,159.95,83.53,72,89,2.98,overcast clouds
486,Broome,US,42.2506,-75.833,40.91,49,0,6.91,clear sky
487,Khartoum,SD,15.5518,32.5324,78.03,31,1,1.99,clear sky
488,Palasa,IN,18.7667,84.4167,66.2,75,51,3.15,broken clouds
489,Clinton,US,42.587,-82.9199,43.12,50,100,6.91,overcast clouds
490,Lae,PG,-6.7221,146.9847,75.87,71,97,3.89,overcast clouds
491,Maniitsoq,GL,65.4167,-52.9,36.09,85,100,21.34,light rain
492,Sunrise Manor,US,36.2111,-115.0731,64.9,39,20,13.8,few clouds
493,Sao Filipe,CV,14.8961,-24.4956,72.63,68,32,6.76,scattered clouds
494,Shuangcheng,CN,45.35,126.2833,6.48,74,0,11.92,clear sky
495,Kumo,NG,10.0447,11.2122,74.48,19,26,8.12,scattered clouds
496,Umm Kaddadah,SD,13.6017,26.6876,64.8,23,49,13.62,scattered clouds
497,Harper,LR,4.375,-7.7169,78.37,85,75,6.29,broken clouds
498,Egvekinot,RU,66.3167,-179.1667,8.6,82,100,14.36,overcast clouds
499,Normandin,CA,48.8333,-72.5321,35.91,69,99,14.97,overcast clouds
500,Les Cayes,HT,18.2,-73.75,78.26,58,0,9.42,clear sky
501,Saint-Sauveur-Des-Monts,CA,45.9001,-74.1659,38.19,77,100,8.97,overcast clouds
502,Souillac,MU,-20.5167,57.5167,75.58,88,40,10.36,light rain
503,Colares,PT,38.7992,-9.4469,59.32,90,66,5.01,broken clouds
504,Oneonta,US,42.4529,-75.0638,42.3,43,100,8.63,overcast clouds
505,Columbus,US,39.9612,-82.9988,48.72,42,100,8.05,overcast clouds
506,Cangzhou,CN,38.3167,116.8667,25.12,41,0,3.02,clear sky
